code,description
RC249,"Post-Death Decline in the Value of a RRIF, an Unmatured RRSP and Post-Death Increase or Decline in the Value of a PRPP"
T2151,Direct Transfer of a Single Amount Under Subsection 147(19) or Section 147.3
GST531,Return for Self-Assessment of the First Nations Goods and Services Tax (FNGST)
T5013SCH12,Resource-Related Deductions - Schedule 12
L601,Registration for Vaping Stamping Regime
B600,Vaping Duty and Information Return
B601,Vaping Information Return - Prescribed Person
T1-OVP,"2024 Individual Tax Return for RRSP, PRPP and SPP Excess Contributions"
RC626,Offshore Tax Informant Program (OTIP) Submission Form
GST499-1,First Nations Tax (FNT) Schedule
GST74,Election and Revocation of an Election to Use the Quick Method of Accounting
GST287,Election or Revocation of the Election by Public Service Bodies to Use the Special Quick Method of Accounting
T2205,"Amounts from a Spousal or Common-law Partner RRSP, RRIF or SPP to Include in Income"
T746,"Calculating Your Deduction for Refund of Unused RRSP, PRPP, and SPP Contributions"
T1043,"Deduction for Excess Registered Pension Plan Transfers You Withdrew from an RRSP, PRPP, SPP or RRIF"
T3012A,"Tax Deduction Waiver on the Refund of your Unused RRSP, PRPP, or SPP Contributions from your RRSP, PRPP or SPP"
T1-OVP-S,"2024 Simplified Individual Tax Return for RRSP, PRPP and SPP Excess Contributions"
NR4,Statement of Amounts Paid or Credited to Non-Residents of Canada
NR4SUM,Return of Amounts Paid or Credited to Non-Residents of Canada
T2033,"Direct Transfer Under Subsection 146.3(14.1), 147.5(21) or 146(21), or Paragraph 146(16)(a) or 146.3(2)(e)"
T2220,"Transfer from an RRSP, RRIF, PRPP or SPP to Another RRSP, RRIF, PRPP or SPP on Breakdown of Marriage or Common-law Partnership"
RC213,"Identity theft and suspicious activity declaration form for individual, business and trust"
T2030,Direct Transfer Under Subparagraph 60(I)(v)
GST66,Application for GST/HST Public Service Bodies' Rebate and GST Self-Government Refund
RC7066-SCH,Provincial Schedule - GST/HST Public Service Bodies' Rebate
T3-DD,Direct Deposit Request for T3
RC579,Additional Information for CPP/QPP Validation and Verification Programs – For employees
RC7289,General Application for GST/HST and QST Rebates for Selected Listed Financial Institutions
GST288,Supplement to Forms GST189 and GST498
GST189,General Application for GST/HST Rebates
N15-1,"Excise Tax Act, Application for Refund/Rebate, Supplementary Information"
GST44,GST/HST Election Concerning the Acquisition of a Business or Part of a Business
RC7244,GST/HST and QST Elections Concerning the Acquisition of a Business or Part of a Business by a Recipient that is a Selected Listed Financial Institution
GST21,Election or Revocation of an Election to Have the Joint Venture Operator Account for GST/HST
T1134,Information Return Relating to Controlled and Non-Controlled Foreign Affiliates (2021 and later taxation years)
T2SCH8,Capital Cost Allowance (CCA)
RC921,Remission Financial Disclosure Form for Individuals
T5013SCH52,Summary Information for Partnerships that Allocated Renounced Resource Expenses to their Members - Schedule 52
GST26,Election or Revocation of an Election by a Public Service Body to Have an Exempt Supply of Real Property Treated as a Taxable Supply
RC66-1,Additional Children
RC66,"Canada Child Benefit Application includes federal, provincial, and territorial programs"
RC64,Children's Special Allowances
RC113,Direct Deposit Request for Children's Special Allowances
CTB9,Income of Non-Resident Spouse or Common-Law Partner for the Canada Child Benefit
RC65,Marital Status Change
RC66SCH,Status in Canada and Income Information for the Canada Child Benefits Application
T5013SCH63,Return of Fuel Charge Proceeds to Farmers Tax Credit
XE8,Excise Tax Act – Application for Refund of Federal Excise Tax on Gasoline
RC578,CPP Contributions Repayment Voucher
RC590,Electronic Payment Adjustment Form
RC1,Request for a Business Number and Certain Program Accounts
RC7301,Request for a Business Number and Certain Program Accounts for Certain Selected Listed Financial Institutions
T625,CANCELLED Application for Qualified Canadian Journalism Organization Designation
T2SCH63,Return of Fuel Charge Proceeds to Farmers Tax Credit
RC4649,Country-by-Country Report
B500,Luxury Tax and Information Return for Registrants
T2SCH572,Ontario Made Manufacturing Investment Tax Credit
T101B,Claim for Adjustments to Canadian Exploration Expenditures (CEEs) and Canadian Development Expenditures (CDEs) previously renounced
EXCISE-BOND,"CANCELLED Bond for Excise Act, 2001 (sample)"
EXCISE-BOND-BREWERS,CANCELLED Excise Bond for Brewers and Manufacturers of Wort
T625-2,Application for Qualified Canadian Journalism Organization Designation - Partnership
T625-3,Application for Qualified Canadian Journalism Organization Designation - Trust
T625-1,Application for Qualified Canadian Journalism Organization Designation – Corporation
L902,Surety Bond for a Licensed Brewer
L904,"Surety Bond for a Manufacturer of Wort, Yeast or Malt Products"
L802,Surety Bond for a Spirits Licensee
L702,Surety Bond for a Tobacco Licensee
L704,Surety Bond for a Tobacco Prescribed Person
GST115,CANCELLED GST/HST Rebate Application for Tour Packages
RC4601,GST/HST Reporting Entity Election or Notice of Revocation for a Selected Listed Financial Institution
RC7201,Reporting Entity Election or Notice of Revocation for a Selected Listed Financial Institution for GST/HST and QST Purposes or only for QST Purposes
T2311,Election for Pertinent Loan or Indebtedness (PLOI) under Subsection 212.3(11)
T2SCH394,Manitoba Rental Housing Construction Tax Credit
RC151,GST/HST Credit and Canada Carbon Rebate Application for Individuals Who Become Residents of Canada
T2123,Dividend Substitution Election Under Subsection 212.3(3)
CPT101,Appeal of an Assessment Under the Canada Pension Plan and/or Employment Insurance Act
T2SCH385,Manitoba Odour-Control Tax Credit
T2SCH70,ARCHIVED — Active Business Income for the Purposes of the Accelerated Tax Reduction for Corporations with Specified Partnership Income
B402-1,Fuel Charge Return Schedule for Fuel Held in a Listed Province on Adjustment Day
B402,Fuel Charge Return for Fuel Held in a Listed Province on Adjustment Day
T2SCH24,"First-time Filer After Incorporation, Amalgamation or Winding-up of a Subsidiary into a Parent"
B268,Notification of Fiscal Months
UHT-2900,Underused Housing Tax Return and Election Form
T2SCH556,Ontario Film and Television Tax Credit
T1521,Election for a Pertinent Loan or Indebtedness (PLOI) under Subsection 15(2.11)
RC7210,Elections or Revocation of the Elections to Have Certain Provisions in Section 225.4 of the ETA Not Apply to a Selected Listed Financial Institution for GST/HST and QST Purposes or only for QST Purposes
RC4610,"GST/HST Election or Revocation of an Election to Have Subsection 225.4(3), (4) or (5) Not Apply to a Selected Listed Financial Institution"
RC7214,Attribution Point Elections or Revocation of the Election for Selected Listed Financial Institutions for GST/HST and QST Purposes or only for QST Purposes
RC4614,GST/HST Attribution Point Election or Revocation of the Election for a Selected Listed Financial Institution
T3AO,Trust Amount Owing Remittance Voucher
T3INNS3,Trust Instalment Voucher
RC7211,Application for Authorization or Revocation for an Exchange-Traded Fund to Use Particular Methods to Determine Its Provincial Attribution Percentages for an SLFI for GST/HST and QST Purposes or only for QST Purposes
RC4611,GST/HST Application for Authorization or Revocation for an Exchange-Traded Fund to Use Particular Methods to Determine Its Provincial Attribution Percentages
B301,"Application for a Refund of Cannabis Duty under the Excise Act, 2001"
RC7204,Consolidated Filing Election or Notice of Revocation for a Selected Listed Financial Institution for GST/HST and QST Purposes or only for QST Purposes
RC4604-1,Election for a Selected Listed Financial Institution to Join a GST/HST Consolidated Filing Election
RC4604-2,Election for a Selected Listed Financial Institution to Withdraw From a GST/HST Consolidated Filing Election
RC7204-1,Elections to Join a Consolidated Filing Election for a Selected Listed Financial Institution for GST/HST and QST Purposes or only for QST Purposes
RC7204-2,Elections to Withdraw from a Consolidated Filing Election for a Selected Listed Financial Institution for GST/HST and QST Purposes or only for QST Purposes
RC4604,GST/HST Consolidated Filing Election or Notice of Revocation for a Selected Listed Financial Institution
RC4602,Request for a Group GST/HST Registration Number for Selected Listed Financial Institutions with Consolidated Filing for GST/HST Purposes
RC7202,Request for a Group Registration Number for Selected Listed Financial Institutions with Consolidated Filing for GST/HST and QST Purposes or only for QST Purposes
RC4602-1,Request to be Added to a Group GST/HST Registration for Selected Listed Financial Institutions with Consolidated Filing for GST/HST Purposes
RC7202-1,Request to be Added to a Group Registration for Selected Listed Financial Institutions with Consolidated Filing for GST/HST and QST Purposes or only for QST Purposes
UHT-183,Authorization to Electronically File the Underused Housing Tax Return and Election Form
RC459,Reprisal Complaint
L300SCHA,Schedule A - Other Business Location(s) (to support a cannabis licence application)
L302,Surety Bond for Cannabis
T2201,Disability Tax Credit Certificate
T1272,Newfoundland and Labrador Direct Equity Tax Credit
T2091IND-WS,Principal Residence Worksheet
RC552,Register as Representative for a Deceased Person
T1105,Supplementary Schedule for Dispositions of Capital Property Acquired Before 1972
T2SCH554,Ontario Computer Animation and Special Effects Tax Credit
T1086,Election by a Partner Waiving Canadian Development Expenses or Oil and Gas Property Expenses
RC4609,Election or Revocation of Election to Use a Real-Time Calculation Method or the Reconciliation Method for GST/HST Purposes
T2073,Election to be a Public Corporation
RC7209,Elections or Revocation of Elections to Use a Real-Time Calculation Method or the Reconciliation Method for Selected Listed Financial Institutions for GST/HST and QST Purposes or only for QST Purposes
T1090,"Joint Designation on the Death of a RRIF Annuitant, PRPP Member, or ALDA Annuitant"
T2067,Election Not to be a Public Corporation
L301,"Registration for Cannabis Stamping Regime under the Excise Act, 2001"
GST386,Rebate Application for Conventions
GST111,Financial Institution GST/HST Annual Information Return
RC7291,GST/HST and QST Annual Information Return for Selected Listed Financial Institutions
T2SCH461,Northwest Territories Corporation Tax Calculation
T1441,Qualifying Disbursements: Grants to Non-Qualified Donees
T3010,Registered Charity Information Return
RC161,Authorization for Parliamentarians
T1229,Statement of Resource Expenses and Depletion Allowance
T2SCH38,Part VI Tax on Capital of Financial Institutions
T2SCH322,Prince Edward Island Corporation Tax Calculation
T2SCH35,Taxable Capital Employed in Canada - Large Insurance Corporations
B269,Application or Revocation of the Authorization to File Separate Excise Duty Returns and Refund Applications for Branches or Divisions
RC4603,GST/HST Tax Adjustment Transfer Election or Notice of Revocation for a Selected Listed Financial Institution
RC7203,Tax Adjustment Transfer Election or Notice of Revocation for a Selected Listed Financial Institution for GST/HST and QST Purposes or only for QST Purposes
GST106,Information on Claims Paid or Credited for Foreign Conventions
T106,Information Return of Non-Arm's Length Transactions with Non-Residents
RC312,Reportable Transaction and Notifiable Transaction Information Return (2023 and later tax years)
T5013SCH125,Income Statement Information - Schedule 125
GST489,Return for Self-Assessment of the Provincial Part of Harmonized Sales Tax (HST)
RC7249,Return for Self-assessment by a Selected Listed Financial Institution of the Provincial Part of the HST and the QST
T2SCH2,Charitable Donations and Gifts
T2SCH500,Ontario Corporation Tax Calculation
B300,"Cannabis Duty and Information Return under Excise Act, 2001"
T2SCH429,British Columbia Interactive Digital Media Tax Credit
T2SCH65,Air Quality Improvement Tax Credit (2022 and later tax years)
T1-ADJ,T1 Adjustment Request
GST70,Election or Revocation of an Election to Change a GST/HST Fiscal Year
RC7270,Election or Revocation of an Election to Change a GST/HST and QST Fiscal Year for Certain Selected Listed Financial Institutions
T1044,Non-Profit Organization (NPO) Information Return
E421,"Notice of Objection (Select Luxury Items Tax Act (""SLITA"")"
T2058,Election on Disposition of Property by a Partnership to a Taxable Canadian Corporation
T2059,Election on Disposition of Property by a Taxpayer to a Canadian Partnership
T2057,Election on Disposition of Property by a Taxpayer to a Taxable Canadian Corporation
ON100,Notice of Objection - Ontario Corporations Tax Act
T101,Statement of Resource Expenses
GST60,GST/HST Return for Purchase of Real Property or Carbon Emission Allowances
RC7260,GST/HST and QST Return for Purchase of Real Property/Immovable or Carbon Emission Allowances by a Selected Listed Financial Institution
T5013SCH8,Capital Cost Allowance (CCA) - Schedule 8
UHT0001,Notice of Objection - Underused Housing Tax Act
T1296,"Election, or Revocation of an Election, to Report in a Functional Currency"
T10SUM,Summary of Pension Adjustment Reversals (PARs) or Pension Adjustment Corrections (PACs)
GST518,GST/HST Specially Equipped Motor Vehicle Rebate Application
T101A,Claim for Renouncing Canadian Exploration Expenditures (CEEs) and Canadian Development Expenditures (CDEs)
TD4,Declaration of Exemption - Employment at a Special Work Site
T217,"Election, or Revocation of an Election, to use the Mark-to-Market method"
GST507,Third-Party Authorization and Cancellation of Authorization for GST/HST Rebates
RC7257,Third-Party Authorization and Cancellation of Authorization for GST/HST and QST Rebates for Selected Listed Financial Institutions
T2SCH141,General Index of Financial Information (GIFI) - Additional Information
T5013SCH141,General Index of Financial Information (GIFI) – Additional Information
T1178,General Index of Financial Information - Short
T2SCH125,Income Statement Information
B403,CANCELLED Rebate for Fuel Charge Paid in Error
B400,Fuel Charge Return - Registrant
B400-6,Fuel Charge Return Schedule - Registered Air Carrier
B400-1,Fuel Charge Return Schedule - Registered Distributor
B400-3,Fuel Charge Return Schedule - Registered Emitter
B400-2,Fuel Charge Return Schedule - Registered Importer
B400-12,Fuel Charge Return Schedule - Registered Road Carrier
B400-7,Fuel Charge Return Schedule - Registered Specified Air Carrier
B400-5,Fuel Charge Return Schedule - Registered User of Combustible Waste
B400-4,Fuel Charge Return Schedule - Registered User of Fuel
B401-1,Fuel Charge Return Schedule for Non-Registrants
B401,Fuel Charge Return for Non-registrants
RC3133,Reportable Uncertain Tax Treatments Information Return (2023 and later tax years)
L407-1,Notice of Revocation of Waiver (subsection 111(12) of the Greenhouse Gas Pollution Pricing Act)
L407,Waiver of the Limitation Period for Assessment (subsection 111(11) of the Greenhouse Gas Pollution Pricing Act)
RC683,Refund Examination Program – Business Information
RC685,Refund Examination Program – Rental Information
RC686,Refund Examination Program – Residency Status and World Income
NR5,Application by a Non-Resident of Canada for a Reduction in the Amount of Non-Resident Tax Required to be Withheld for Tax Year _______________
RC684,Refund Examination Program – Province or Territory of Residence - Multiple Years
RC687,Refund Examination Program – Province or Territory of Residence – Single year
CPT112,"Certificate of Coverage Under the Canada Pension Plan Pursuant to Articles 7, 8, and 10 of the Agreement on Social Security Between Canada and the Republic of Austria"
NR6,Undertaking to File an Income Tax Return by a Non-Resident Receiving Rent from Real or Immovable Property or Receiving a Timber Royalty
T666,British Columbia (BC) Scientific Research and Experimental Development Tax Credit
T1200,Actuarial Information Summary
T2SCH310,Newfoundland and Labrador Manufacturing and Processing Investment Tax Credit (2022 and later tax years)
RC616,Registration for the Tobacco Stamping Regime
RC391,Application for a Canada Revenue Agency Non-Resident Representative Number (NRRN)
ON200,Superior Court of Justice (Ontario)
ON201,Superior Court of Justice (Ontario)
T2SCH311,Newfoundland and Labrador Green Technology Tax Credit
T182,Supporting Information for the CRCB Application
L400,Fuel Charge Registration
T2SCH68,Additional Tax on Banks and Life Insurers
T1261,Application for a Canada Revenue Agency Individual Tax Number (ITN) for Non-Residents
L63,"CANCELLED Licence and Registration Application Excise Act, 2001"
T2SCH67,Canada Recovery Dividend
T2SCH366,New Brunswick Corporation Tax Calculation
T2SCH387,Manitoba Small Business Venture Capital Tax Credit
T2SCH341,Nova Scotia Corporate Tax Reduction for New Small Businesses
DC905,Bankruptcy Identification Form
RC4615,Election or Revocation of the Election to Not Account for GST/HST on Actual Taxable Supplies
RC7215,Elections or Revocation of the Elections to Not Account for GST/HST and/or QST on Actual Taxable Supplies for Participating Employers that are Selected Listed Financial Institution
T2SCH53,General Rate Income Pool (GRIP) Calculation
T2SCH27,Calculation of Canadian Manufacturing and Processing Profits Deduction
T2SCH432,Additional Certificate Numbers for the British Columbia Clean Buildings Tax Credit (2022 and later tax years)
T2039,Air Quality Improvement Tax Credit
RC4618,Election or Revocation of an Election for GST/HST Purposes to Designate a Pension Entity in Respect of a Master Pension Entity
RC7218,Elections or Revocation of Elections for GST/HST and/or QST Purposes to Designate a Pension Entity that is a Selected Listed Financial Institution in Respect of a Master Pension Entity
T100A,Application for a Selling Instrument Identification Number (SITIN)
T2046,Tax Return Where Registration of a Charity is Revoked
T2200S,ARCHIVED — Declaration of Conditions of Employment for Working at Home Due to COVID-19
T777S,ARCHIVED — Statement of Employment Expenses for Working at Home Due to COVID-19
T1243,Deemed Disposition of Property by an Emigrant of Canada
T1244,"Election, under Subsection 220(4.5) of the Income Tax Act, to Defer the Payment of Tax on Income Relating to the Deemed Disposition of Property"
GST370,Employee and Partner GST/HST Rebate Application
T1161,List of Properties by an Emigrant of Canada
T1B,Request to Deduct Federal COVID-19 Benefits Repayment in a Prior Year
T5013SUM,Summary of Partnership Income
T2SCH392,Manitoba Data Processing Investment Tax Credits
T2SCH3,"Dividends Received, Taxable Dividends Paid, and Part IV Tax Calculation"
T100A-CERT,Certificate of Qualified Engineer or Geoscientist
GST303,Application to Offset Taxes by Refunds or Rebates
T2SCH346,Nova Scotia Corporation Tax Calculation
T2SCH17,Credit Union Deductions
T2SCH427,British Columbia Corporation Tax Calculation
T2SCH443,Yukon Corporation Tax Calculation
GST498,"GST/HST Rebate Application for Foreign Representatives, Diplomatic Missions, Consular Posts, International Organizations, or Visiting Forces Units"
B265,Excise Duty Return - Wine Licensee
GST528,Authorization to Use an Export Distribution Centre Certificate
GST506,Election and Revocation of an Election Between Agent and Principal
B262,Excise Duty Return - Excise Warehouse Licensee
E60,Tobacco Products Export Form
RC7216,"Application, Renewal, or Revocation of the Authorization for a Qualifying Institution that is a Selected Listed Financial Institution to Use Particular Input Tax Credit Allocation Methods"
GST116,"Application, Renewal, or Revocation of the Authorization for a Qualifying Institution to Use Particular Input Tax Credit Allocation Methods"
RC4521,Application for a Financial Institution of a Prescribed Class to be Designated as a Qualifying Institution or Revocation of a Previously Granted Designation
RC7221,Application for a Selected Listed Financial Institution of a Prescribed Class to be Designated as a Qualifying Institution or Revocation of a Previously Granted Designation
RC7222,Election or Revocation for a Qualifying Institution that is a Selected Listed Financial Institution to Use Particular Methods Specified in an Application Under Subsection 141.02(18) of the ETA for GST/HST and QST Purposes
RC4522,Election or Revocation for a Qualifying Institution to Use Particular Methods Specified in an Application Under Subsection 141.02(18)
T2SCH570,Ontario Regional Opportunities Investment Tax Credit (2021 and later tax years)
GST146,Notice of Revocation of Waiver (subsection 298(8) of the Excise Tax Act)
RC7246,Notice of Revocation of Waiver for Certain Selected Listed Financial Institutions (subsection 298(8) of the Excise Tax Act and section 25.3 of the Tax Administration Act)
GST145,Waiver of the Limitation Period for Assessment (subsection 298(7) of the Excise Tax Act)
RC7245,Waiver of the Limitation Period for Assessment of Certain Selected Listed Financial Institutions (subsection 298(7) of the Excise Tax Act and paragraph 25.1(b) of the Tax Administration Act)
T2SCH388,Manitoba Film and Video Production Tax Credit
T2SCH89,Request for Capital Dividend Account Balance Verification
RC7297,Election or Revocation Under the Special Attribution Method for Selected Listed Financial Institutions for GST/HST and QST Purposes or only for QST Purposes
GST497,GST/HST Election or Revocation Under the Special Attribution Method for Selected Listed Financial Institutions
RC116,Saskatchewan Family Health Benefits
T5013SCH65,Air Quality Improvement Tax Credit
GST10,Application or Revocation of the Authorization to File Separate GST/HST Returns and Rebate Applications for Branches or Divisions
GST191,GST/HST New Housing Rebate Application for Owner-Built Houses
GST32,Application to Deem One Unincorporated Organization to be a Branch of Another Unincorporated Organization
GST322,Certificate of Government Funding
L100-3,Luxury Tax Exemption Certificate for Subject Aircraft
L100-2,Luxury Tax Exemption Certificate for Subject Vessels
L100-1,Luxury Tax Exemption Certificate for Subject Vehicles
GST27,Election or Revocation of an Election to Deem Certain Supplies to be Financial Services for GST/HST Purposes
RC7227,Elections or Revocation of the Elections to Deem Certain Supplies to be Financial Services for GST/HST and QST Purposes for Selected Listed Financial Institutions
GST502,Election and Revocation of Election Between Auctioneer and Principal
GST30,Election for Passenger Vehicles or Aircraft to be Deemed to be Used Exclusively in Non-Commercial Activities
T2SCH352,Nova Scotia Financial Institutions Capital Tax
GST118,Election or Revocation of an Election for a Financial Institution to Use the Prescribed Percentage
RC7298,Election or Revocation of an Election to Use the Prescribed Percentage for a Selected Listed Financial Institution
B502,Luxury Tax - Information Return for Non-Registrants
B503,Luxury Tax Rebate Application for Foreign Representatives
B501,Luxury Tax and Information Return for Non-Registrants
CPT173,"Certificate of Coverage Under the Canada Pension Plan Pursuant to Articles 6(b), 6(c), 7 and 10 of the Agreement on Social Security Between Canada and the Republic of Albania"
RC7190-WS,GST190 Calculation Worksheet
NR304,Direct Deposit for Non-Resident Tax Refunds
L502,Special Import Certificate Application
L501,Tax Certificate Application
L500-2,Application or Revocation of the Authorization to File Separate Luxury Tax Returns for Branches and Divisions
L500,Luxury Tax Registration Application
L500-1,Non-Resident - Records Kept Outside Canada
T661,Scientific Research and Experimental Development (SR&ED) Expenditures Claim
GST191-WS,Construction Summary Worksheet
T1174,Agreement Between Associated Corporations to Allocate Salary or Wages of Specified Employees for Scientific Research and Experimental Development (SR&ED)
T1145,Agreement to Allocate Assistance for SR&ED Between Persons Not Dealing at Arm's Length
T1146,Agreement to Transfer Qualified Expenditures Incurred in Respect of SR&ED Contracts Between Persons Not Dealing at Arm's Length
T1263,Third-party payments for scientific research and experimental development (SR&ED)
GST190,GST/HST New Housing Rebate Application for Houses Purchased from a Builder
T186,Canada Emergency Benefit Remission Application
L600-A,Schedule A – Other Business Locations
L602,Surety Bond for Vaping Product Licensee
L604,Surety Bond for Vaping – Prescribed Person
GST29,Educational Services - Election and Revocation of the Election to Make Certain Supplies Taxable
T2SCH13,Continuity of Reserves
GST20,Election for GST/HST Reporting Period
RC7220,Election for GST/HST and QST Reporting Period for a Selected Listed Financial Institution
GST20-1,Notice of Revocation of an Election for GST/HST Reporting Period by a Listed Financial Institution
RC7220-1,Notice of Revocation of an Election for GST/HST and QST Reporting Period by a Selected Listed Financial Institution
T2SCH502,Ontario Tax Credit for Manufacturing and Processing
RC248-1,Supporting information for your Canada Pension Plan contributions
T2SCH59,Information Return for Non-Qualified Securities
T2SCH97,Additional Information on Non-Resident Corporations in Canada
RC224,Executive Compensation Repayment Amount Agreement
T622,Digital News Subscription Tax Credit - Eligible Subscription
T2SCH568,Ontario Business-Research Institute Tax Credit
T2SCH351,Additional Certificate Numbers for the Nova Scotia Capital Investment Tax Credit
T2SCH7,Aggregate Investment Income and Income Eligible for the Small Business Deduction
T2SCH321,Prince Edward Island Corporate Investment Tax Credit
T2SCH91,Information Concerning Claims for Treaty-Based Exemptions
E432,Assignment of rights to object or appeal under the Excise Tax Act
RC431,Request for Re-appropriation of T2 Statute-barred Credits
T2SCH564,Ontario Book Publishing Tax Credit
T2SCH389,Manitoba Book Publishing Tax Credit
T5013SCH9,List of Partnerships - Schedule 9
T2SCH4,Corporation Loss Continuity and Application
R105-S,"Regulation 105 Simplified Waiver Application for Non-resident Artists and Athletes Earning No More Than CAN$15,000"
RC669,"Attestation for owner/managers and/or senior employees (comptroller/VP Finance/CFO) of an eligible entity applying for a wage subsidy under the THRP, HHBRP or CRHP"
RC664,Attestation for owner/managers and/or senior employees (comptroller/VP Finance/CFO) of an eligible entity applying for the rent subsidy under the Tourism and Hospitality Recovery Program or the Hardest-Hit Business Recovery Program
T2SCH481,Nunavut Corporation Tax Calculation
RC7288,"Selected Listed Financial Institution - Request for Taxpayer Relief - Cancel or Waive Penalties and Interest Related to the GST/HST or the QST, or Charges Related to the QST"
T1000-1,Registered Journalism Organization Information Return
GST532,Agreement and Revocation of an Agreement Between Supplier and Constructive Importer
T2SCH305,Newfoundland and Labrador Capital Tax on Financial Institutions
T2SCH384,Manitoba Paid Work Experience Tax Credit
GST24,Election and Revocation of the Election to Tax Professional Memberships
GST23,Election and Revocation of the Election by a Public Sector Body (Other than a Charity) to Have its Exempt Memberships Treated as Taxable Supplies
E691,Exemption Certificate for Air Travellers Security Charge
T5013,Statement of Partnership Income
T2SCH42,Calculation of Unused Part I Tax Credit
T2SCH16,Patronage Dividend Deduction
RC4600,Election or Revocation of an Election by a Qualifying Taxpayer Under Subsection 217.2(1)
RC661,Attestation for owner/managers and/or senior employees (comptroller/VP Finance/CFO) of an eligible employer applying for the Canada Emergency Wage Subsidy or the Canada Recovery Hiring Program
GST367,Endorsement to the Bond for Non-Resident Person without a Permanent Establishment in Canada
RC7191-ON,GST191 Ontario Rebate Schedule
GST114,Bond for Non-Resident Person without a Permanent Establishment in Canada
RC512,Confidential Disclosure Form
R102-R,Regulation 102 Waiver Application
R105,Regulation 105 Waiver Application
T2062,Request by a Non-Resident of Canada for a Certificate of Compliance Related to the Disposition of Taxable Canadian Property
T2062A,"Request by a Non-resident of Canada for a Certificate of Compliance Related to the Disposition of Canadian Resource or Timber Resource Property, Canadian Real Property (Other Than Capital Property), or Depreciable Taxable Canadian Property"
GST71,Notification of GST/HST Accounting Periods
RC7271,Notification of GST/HST and QST Accounting Periods for Certain Selected Listed Financial Institutions
T1000-4,Registered Journalism Organization Adjustment Request
T2SCH404,Saskatchewan Manufacturing and Processing Profits Tax Reduction
T1132,Alternative Address Authorization
RC7190-ON,GST190 Ontario Rebate Schedule
T180,CERB reimbursement application for self-employed individuals
B267,Excise Duty Return - Tobacco Licensee
CPT100,Appeal of a Ruling Under the Canada Pension Plan and/or Employment Insurance Act
CPT162,Certificate of Coverage Under the Canada Pension Plan Pursuant to Articles 7 to 10 of the Agreement On Social Security Between Canada And The Republic Of Serbia
RC231,Vendor Electronic Payment Registration Request
RC665,Canada Emergency Rent Subsidy Attestation
CPT169,"Certificate of Coverage Under the Canada Pension Plan Pursuant to Articles 6, 7 and 10 of the Agreement on Social Security Between Canada and Republic of India"
RC565,Federal Excise Tax Exemption Certificate For Immediate Export Of Fuel
T1000-3,Directors/Trustees Worksheet for Registered Journalism Organizations
CPT67,Certificate of Coverage Under the Canada Pension Plan Pursuant to Article VI of the Agreement on Social Security Between Canada and Saint Lucia
CPT66,Certificate of Coverage Under the Canada Pension Plan Pursuant to Article VI of the Agreement on Social Security Between Canada and Saint Vincent and the Grenadines
CPT65,Certificate of Coverage Under the Canada Pension Plan Pursuant to Article VI of the Agreement on Social Security Between Canada and the Federation of St. Kitts and Nevis
CPT127,Certificate of Coverage Under the Canada Pension Plan Pursuant to Articles 6 to 11 of the Agreement on Social Security Between Canada and the Kingdom of Norway
CPT138,Certificate of Coverage Under the Canada Pension Plan Pursuant to Articles 6 to 9 of the Agreement On Social Security Between Canada and The Slovak Republic
CPT129,Certificate of Coverage Under the Canada Pension Plan Pursuant to Articles VI to X of the Agreement on Social Security Between Canada and Sweden
CPT172,Certificate of Coverage Under the Canada Pension Plan Pursuant to Article 6 Sub-Paragraph (b) and Articles 7 and 9 of the Convention on Social Security Between Canada and the Republic of Peru
CPT68,Certificate of Coverage Under the Canada Pension Plan Pursuant to Article 6 of the Agreement on Social Security Between Canada and the Republic of Slovenia
CPT136,Certificate of Coverage Under the Canada Pension Plan Pursuant to Article 7 of the Agreement on Social Security Between Canada and the Eastern Republic of Uruguay
CPT70,Certificate of Coverage Under the Canada Pension Plan Pursuant to Article VI of the Agreement on Social Security Between Canada and the Republic of Trinidad and Tobago
CPT72,Certificate of Coverage Under the Canada Pension Plan Pursuant to Article VI of the Agreement on Social Security Between Canada and the Republic of Turkey
CPT64,Certificate of Coverage Under the Canada Pension Plan Pursuant to Article VI of the Agreement on Social Security Between Canada and the Republic of the Philippines
CPT69,Certificate of Coverage Under the Canada Pension Plan Pursuant to Articles 6 to 9 of the Convention on Social Security Between Canada and the Swiss Confederation
CPT55,Certificate of Coverage Under the Canada Pension Plan Pursuant to Articles VI to XI of the Agreement on Social Security Between Canada and Portugal
CPT122,Certificate of Coverage under the Canada Pension Plan Pursuant to Article 5 of the Agreement on Social Security Between the Government of Canada and Government of Japan
CPT165,"Certificate of Coverage under the Canada Pension Plan Pursuant to Article 6 Paragraph (2) and Articles 7, 8 and 10 of the Social Security Agreement Between Canada and Romania"
CPT63,Certificate of Coverage Under the Canada Pension Plan Pursuant to Article VI of the Agreement on Social Security Between Canada and the Kingdom of the Netherlands
CPT61,Certificate of Coverage Under the Canada Pension Plan Pursuant to Article VI of the Agreement on Social security Between Canada and the Republic of Malta
CPT62,Certificate of Coverage Under the Canada Pension Plan Pursuant to Articles 6 to 10 of the Agreement on Social Security Between Canada and the United Mexican States
CPT166,Certificate of Coverage under the Canada Pension Plan Pursuant to Article 6 of the Convention on Social Security Between Canada and the Government of the Kingdom of Morocco
